sim_index,strategy,total_time_s,pit_stop_count,sc_laps
816,A,6157.643981418349,2,59
817,A,6134.466785021036,2,45
818,A,6163.02426765185,2,42
819,A,6142.141718794444,2,54
820,A,6143.658241292145,2,44
821,A,6146.906276296865,2,45
822,A,6136.367358708627,2,42
823,A,6141.016068287485,2,42
824,A,6147.116986065569,2,42
825,A,6148.093819075173,2,33
826,A,6141.454945440509,2,42
827,A,6132.047843757537,2,44
828,A,6133.744486177014,2,39
829,A,6130.01825482214,2,43
830,A,6134.020937105134,2,42
831,A,6134.167286338334,2,39
832,A,6136.453739276627,2,39
833,A,6140.863192200936,2,50
834,A,6155.276962063053,2,39
835,A,6185.534603143961,2,39
836,A,6138.528917004225,2,41
837,A,6140.636349730302,2,48
838,A,6145.888363473278,2,54
839,A,6146.4637637280275,2,50
840,A,6162.541314715199,2,32
841,A,6139.234436224391,2,45
842,A,6139.5551457626025,2,37
843,A,6165.660179212196,2,31
844,A,6134.171641833096,2,43
845,A,6139.213146121514,2,48
846,A,6134.993858680075,2,51
847,A,6138.706811539879,2,45
848,A,6134.063391349592,2,44
849,A,6147.288713598588,2,43
850,A,6145.454516959845,2,48
851,A,6137.612416888253,2,45
852,A,6143.575674365836,2,40
853,A,6149.566385067106,2,48
854,A,6134.242542179862,2,43
855,A,6162.903778313797,2,39
856,A,6138.899996268759,2,43
857,A,6144.043677668682,2,42
858,A,6138.709373446153,2,43
859,A,6139.333962761833,2,42
860,A,6140.581855838899,2,48
861,A,6142.620946460161,2,42
862,A,6181.559855194116,2,27
